id,priority,epic,title,blocked_by,completion_signal
GOV-001,P0,E0 — Governance and Upstream Baseline,"Create repository, license, workspace, branch protection, and baseline CI",,Empty workspace builds and protected CI is active
GOV-002,P0,E0 — Governance and Upstream Baseline,"Verify latest stable ADK-Rust, MSRV, crate feature matrix, and exact pin policy",,Source-linked report and exact workspace pin
GOV-003,P0,E0 — Governance and Upstream Baseline,Adopt initial ADR set and architecture boundary,GOV-002,ADRs accepted; ADK/domain leakage rules explicit
GOV-004,P1,E0 — Governance and Upstream Baseline,"Establish security, contribution, release, and dependency policies",GOV-001,Policy files and CI checks exist
GOV-005,P1,E0 — Governance and Upstream Baseline,Create recurring external-adopter distillation process,GOV-002,Research registry schema and scheduled issue/template
GOV-006,P2,E0 — Governance and Upstream Baseline,Define upstream issue/PR tracking workflow,GOV-003,Label/template and compatibility removal rules
SPEC-001,P0,"E1 — Specification, IR, and Compiler",Define source-aware external workflow specification v1 skeleton,GOV-003,TOML parses with path-aware diagnostics
IR-001,P0,"E1 — Specification, IR, and Compiler",Define canonical Workflow IR and stable identifiers,SPEC-001,Canonical serialization and hash tests pass
DIAG-001,P0,"E1 — Specification, IR, and Compiler",Implement stable compiler diagnostic codes and JSON output,SPEC-001,Human/JSON snapshots pass
REG-001,P0,"E1 — Specification, IR, and Compiler",Define model/tool/node/validator/predicate/Skill registry contracts,GOV-003,Fake registries resolve versioned metadata
COMP-001,P0,"E1 — Specification, IR, and Compiler",Implement parse→normalize→resolve compiler pipeline,"IR-001,REG-001,DIAG-001",Minimal plan compiles to locked executable plan
COMP-002,P0,"E1 — Specification, IR, and Compiler","Implement graph reachability, terminal, and cycle analysis",IR-001,Invalid graphs fail with exact diagnostics
COMP-003,P0,"E1 — Specification, IR, and Compiler",Implement closed route operators,IR-001,Operator unit/property tests pass
COMP-004,P1,"E1 — Specification, IR, and Compiler",Implement registered Rust predicate routing,"REG-001,COMP-003",Versioned predicate fixture routes correctly
STATE-001,P1,"E1 — Specification, IR, and Compiler",Define state key/schema contracts and artifact-handle convention,IR-001,Missing/incompatible state caught preflight where possible
LOCK-001,P0,"E1 — Specification, IR, and Compiler",Define and generate workflow lockfile v1,COMP-001,All semantic resource hashes recorded
MIGRATE-001,P2,"E1 — Specification, IR, and Compiler",Define explicit workflow/lock schema migration API,LOCK-001,Old fixture migration tested
SUBWF-001,P2,"E1 — Specification, IR, and Compiler",Evaluate typed subworkflow invocation,"COMP-001,STATE-001",ADR accepts or defers with prototype evidence
RUN-001,P0,"E2 — Runtime, Artifacts, Workdirs, and Sandbox","Define run context, statuses, limits, and typed terminal result",GOV-003,Pure contract tests and serialization pass
RUN-002,P0,"E2 — Runtime, Artifacts, Workdirs, and Sandbox","Implement host-enforced counters, wall/idle/tool limits, and cancellation",RUN-001,Runaway fixture terminates and cleans up
SESSION-001,P0,"E2 — Runtime, Artifacts, Workdirs, and Sandbox",Implement per-run/per-role ADK session isolation helpers,"GOV-002,RUN-001",Producer/reviewer IDs differ; history tests pass
ART-001,P0,"E2 — Runtime, Artifacts, Workdirs, and Sandbox","Define ArtifactStore, content IDs, pagination, and retention interfaces",RUN-001,In-memory store conformance passes
ART-002,P1,"E2 — Runtime, Artifacts, Workdirs, and Sandbox",Implement local filesystem ArtifactStore,"ART-001,WORKDIR-001","Hash, atomic write, paging, cleanup tests pass"
WORKDIR-001,P0,"E2 — Runtime, Artifacts, Workdirs, and Sandbox",Implement independent per-run workdir manager and manifest,RUN-001,Parallel runs cannot see each other's mutable files
WORKDIR-002,P1,"E2 — Runtime, Artifacts, Workdirs, and Sandbox",Implement immutable input/package/Skill/reference materialization,"WORKDIR-001,LOCK-001",Hash and read-only plans verified
SBOX-001,P0,"E2 — Runtime, Artifacts, Workdirs, and Sandbox",Define sandbox requested-capability and backend-capability contracts,GOV-003,Unsatisfied required control fails preflight
SBOX-002,P0,"E2 — Runtime, Artifacts, Workdirs, and Sandbox",Implement fake sandbox backend and common conformance suite,"SBOX-001,WORKDIR-001",Suite can validate allow/deny fixtures
SBOX-003,P1,"E2 — Runtime, Artifacts, Workdirs, and Sandbox",Implement Linux bubblewrap backend,"SBOX-002,WORKDIR-002",Full Linux conformance suite passes
SBOX-004,P1,"E2 — Runtime, Artifacts, Workdirs, and Sandbox",Integrate WASM/embedded-JS pure-transform backend,SBOX-001,No-host-access transform fixtures pass
SBOX-005,P2,"E2 — Runtime, Artifacts, Workdirs, and Sandbox",Implement rootless OCI/Podman backend,SBOX-002,Image-digest and isolation conformance passes
CHECK-001,P2,"E2 — Runtime, Artifacts, Workdirs, and Sandbox",Integrate external durable checkpoint backend,"RUN-002,LOCK-001",Kill/resume fixture avoids duplicate side effect
TOOL-001,P0,"E3 — Tools, Policy, and Skills","Extract generic typed ToolEnvelope, ToolFailure, provenance, and metadata","REG-001,ART-001",CodeSeek-compatible fixtures pass
TOOL-002,P0,"E3 — Tools, Policy, and Skills",Build typed FunctionTool registration helper,"TOOL-001,GOV-002",Input/output schema and flags generated correctly
TOOL-003,P1,"E3 — Tools, Policy, and Skills",Implement structured terminal/output tool helper,"TOOL-002,RUN-001",Valid output terminates; invalid output does not
POLICY-001,P0,"E3 — Tools, Policy, and Skills",Implement effective capability intersection,"REG-001,SBOX-001",Property tests prove no privilege expansion
POLICY-002,P1,"E3 — Tools, Policy, and Skills","Add role, tenant, data classification, and network profile policy",POLICY-001,Denial and redaction fixtures pass
APPROVAL-001,P1,"E3 — Tools, Policy, and Skills",Compile approval/HITL node with timeout and denial semantics,"RUN-002,POLICY-001",Approval grant/deny/expire tests pass
SKILL-001,P0,"E3 — Tools, Policy, and Skills","Integrate `adk-skill` discovery, parse, and explicit activation","REG-001,GOV-002",Valid/invalid Agent Skills fixtures pass
SKILL-002,P0,"E3 — Tools, Policy, and Skills",Implement bounded Skill resource listing/read tools,"SKILL-001,ART-001,POLICY-001",Traversal/symlink/size tests pass
SKILL-003,P0,"E3 — Tools, Policy, and Skills",Define `skill.runtime.toml` schema and integrity lock,"SKILL-001,LOCK-001,SBOX-001",Declared scripts/resources lock deterministically
